obamacare no_augmentation 1 mlm
Breitbart
{'eval_loss': 1.8994114398956299, 'eval_runtime': 4.6733, 'eval_samples_per_second': 386.237, 'eval_steps_per_second': 48.36, 'epoch': 3.0}
{'eval_loss': 1.875432014465332, 'eval_runtime': 4.6737, 'eval_samples_per_second': 386.2, 'eval_steps_per_second': 48.355, 'epoch': 4.0}
{'eval_loss': 1.8987547159194946, 'eval_runtime': 4.6753, 'eval_samples_per_second': 386.068, 'eval_steps_per_second': 48.339, 'epoch': 5.0}
{'eval_loss': 1.8389418125152588, 'eval_runtime': 4.6739, 'eval_samples_per_second': 386.183, 'eval_steps_per_second': 48.353, 'epoch': 6.0}
{'eval_loss': 1.8661056756973267, 'eval_runtime': 4.6761, 'eval_samples_per_second': 386.008, 'eval_steps_per_second': 48.331, 'epoch': 7.0}
{'eval_loss': 1.8297276496887207, 'eval_runtime': 4.6768, 'eval_samples_per_second': 385.946, 'eval_steps_per_second': 48.323, 'epoch': 8.0}
{'eval_loss': 1.8189477920532227, 'eval_runtime': 4.6777, 'eval_samples_per_second': 385.873, 'eval_steps_per_second': 48.314, 'epoch': 9.0}
{'eval_loss': 1.7918182611465454, 'eval_runtime': 4.6797, 'eval_samples_per_second': 385.705, 'eval_steps_per_second': 48.293, 'epoch': 10.0}
{'eval_loss': 1.7857664823532104, 'eval_runtime': 4.6816, 'eval_samples_per_second': 385.551, 'eval_steps_per_second': 48.274, 'epoch': 11.0}
{'eval_loss': 1.72074294090271, 'eval_runtime': 4.6882, 'eval_samples_per_second': 385.008, 'eval_steps_per_second': 48.206, 'epoch': 12.0}
{'eval_loss': 1.799072504043579, 'eval_runtime': 4.6888, 'eval_samples_per_second': 384.956, 'eval_steps_per_second': 48.2, 'epoch': 13.0}
{'eval_loss': 1.7426350116729736, 'eval_runtime': 4.6878, 'eval_samples_per_second': 385.045, 'eval_steps_per_second': 48.211, 'epoch': 14.0}
{'eval_loss': 1.7731387615203857, 'eval_runtime': 4.6863, 'eval_samples_per_second': 385.164, 'eval_steps_per_second': 48.226, 'epoch': 15.0}
{'eval_loss': 1.724985122680664, 'eval_runtime': 4.6867, 'eval_samples_per_second': 385.136, 'eval_steps_per_second': 48.222, 'epoch': 16.0}
