obamacare no_augmentation 1 mlm
NPR
{'eval_loss': 1.9322400093078613, 'eval_runtime': 3.3981, 'eval_samples_per_second': 355.491, 'eval_steps_per_second': 44.436, 'epoch': 3.0}
{'eval_loss': 1.9334923028945923, 'eval_runtime': 3.3941, 'eval_samples_per_second': 355.907, 'eval_steps_per_second': 44.488, 'epoch': 4.0}
{'eval_loss': 1.8297345638275146, 'eval_runtime': 3.4132, 'eval_samples_per_second': 353.916, 'eval_steps_per_second': 44.239, 'epoch': 5.0}
{'eval_loss': 1.8538103103637695, 'eval_runtime': 3.4059, 'eval_samples_per_second': 354.682, 'eval_steps_per_second': 44.335, 'epoch': 6.0}
{'eval_loss': 1.8585714101791382, 'eval_runtime': 3.4405, 'eval_samples_per_second': 351.111, 'eval_steps_per_second': 43.889, 'epoch': 7.0}
{'eval_loss': 1.8154131174087524, 'eval_runtime': 3.4191, 'eval_samples_per_second': 353.305, 'eval_steps_per_second': 44.163, 'epoch': 8.0}
{'eval_loss': 1.8032515048980713, 'eval_runtime': 3.4219, 'eval_samples_per_second': 353.022, 'eval_steps_per_second': 44.128, 'epoch': 9.0}
{'eval_loss': 1.8043338060379028, 'eval_runtime': 3.4125, 'eval_samples_per_second': 353.998, 'eval_steps_per_second': 44.25, 'epoch': 10.0}
{'eval_loss': 1.8138006925582886, 'eval_runtime': 3.426, 'eval_samples_per_second': 352.601, 'eval_steps_per_second': 44.075, 'epoch': 11.0}
{'eval_loss': 1.7756664752960205, 'eval_runtime': 4.072, 'eval_samples_per_second': 296.661, 'eval_steps_per_second': 37.083, 'epoch': 12.0}
{'eval_loss': 1.8293730020523071, 'eval_runtime': 3.4039, 'eval_samples_per_second': 354.892, 'eval_steps_per_second': 44.361, 'epoch': 13.0}
{'eval_loss': 1.725774884223938, 'eval_runtime': 3.4355, 'eval_samples_per_second': 351.623, 'eval_steps_per_second': 43.953, 'epoch': 14.0}
{'eval_loss': 1.7677830457687378, 'eval_runtime': 3.3782, 'eval_samples_per_second': 357.591, 'eval_steps_per_second': 44.699, 'epoch': 15.0}
